Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
26,28,6,6,21,22,3,Train/3/00003_00000_00000.png
26,27,5,5,21,21,3,Train/3/00003_00000_00001.png
27,28,6,6,22,23,3,Train/3/00003_00000_00002.png
28,29,6,6,23,24,3,Train/3/00003_00000_00003.png
27,28,5,6,22,23,3,Train/3/00003_00000_00004.png
28,29,5,6,23,24,3,Train/3/00003_00000_00005.png
30,30,6,6,24,24,3,Train/3/00003_00000_00006.png
30,29,6,5,25,24,3,Train/3/00003_00000_00007.png
30,30,6,5,25,24,3,Train/3/00003_00000_00008.png
31,32,5,6,25,26,3,Train/3/00003_00000_00009.png
31,31,5,5,26,26,3,Train/3/00003_00000_00010.png
33,32,6,5,28,27,3,Train/3/00003_00000_00011.png
35,34,6,5,30,29,3,Train/3/00003_00000_00012.png
36,35,6,5,31,30,3,Train/3/00003_00000_00013.png
38,37,6,5,33,32,3,Train/3/00003_00000_00014.png
39,38,6,5,34,33,3,Train/3/00003_00000_00015.png
40,39,6,5,34,34,3,Train/3/00003_00000_00016.png
41,40,6,5,35,35,3,Train/3/00003_00000_00017.png
41,42,5,5,36,37,3,Train/3/00003_00000_00018.png
43,45,5,6,38,39,3,Train/3/00003_00000_00019.png
46,47,5,6,41,42,3,Train/3/00003_00000_00020.png
48,49,5,5,42,43,3,Train/3/00003_00000_00021.png
49,51,5,5,44,46,3,Train/3/00003_00000_00022.png
52,52,6,6,47,47,3,Train/3/00003_00000_00023.png
55,57,5,6,50,52,3,Train/3/00003_00000_00024.png
61,62,6,6,56,57,3,Train/3/00003_00000_00025.png
65,68,5,6,59,62,3,Train/3/00003_00000_00026.png
73,75,6,6,67,69,3,Train/3/00003_00000_00027.png
85,88,7,8,78,81,3,Train/3/00003_00000_00028.png
97,99,9,9,89,90,3,Train/3/00003_00000_00029.png
28,28,5,5,23,23,3,Train/3/00003_00001_00000.png
28,28,5,5,23,23,3,Train/3/00003_00001_00001.png
29,28,6,5,24,23,3,Train/3/00003_00001_00002.png
30,30,5,6,24,25,3,Train/3/00003_00001_00003.png
31,30,6,5,26,25,3,Train/3/00003_00001_00004.png
31,31,5,5,25,25,3,Train/3/00003_00001_00005.png
32,31,6,5,27,26,3,Train/3/00003_00001_00006.png
31,31,5,5,26,26,3,Train/3/00003_00001_00007.png
32,33,6,6,27,27,3,Train/3/00003_00001_00008.png
33,33,6,6,28,28,3,Train/3/00003_00001_00009.png
34,34,6,6,29,29,3,Train/3/00003_00001_00010.png
34,34,6,6,29,29,3,Train/3/00003_00001_00011.png
33,33,5,5,28,28,3,Train/3/00003_00001_00012.png
35,34,6,6,29,29,3,Train/3/00003_00001_00013.png
36,36,6,6,30,30,3,Train/3/00003_00001_00014.png
37,37,6,6,32,32,3,Train/3/00003_00001_00015.png
38,38,6,6,32,32,3,Train/3/00003_00001_00016.png
38,38,5,5,33,33,3,Train/3/00003_00001_00017.png
39,40,6,6,34,34,3,Train/3/00003_00001_00018.png
39,40,5,6,34,35,3,Train/3/00003_00001_00019.png
40,40,5,5,35,35,3,Train/3/00003_00001_00020.png
43,42,6,5,38,37,3,Train/3/00003_00001_00021.png
43,44,5,6,38,39,3,Train/3/00003_00001_00022.png
46,45,6,6,40,40,3,Train/3/00003_00001_00023.png
46,47,5,6,41,42,3,Train/3/00003_00001_00024.png
48,47,6,5,43,42,3,Train/3/00003_00001_00025.png
49,50,5,6,44,44,3,Train/3/00003_00001_00026.png
50,51,5,6,45,46,3,Train/3/00003_00001_00027.png
53,53,6,5,48,47,3,Train/3/00003_00001_00028.png
53,55,5,5,48,49,3,Train/3/00003_00001_00029.png
30,29,6,5,25,24,3,Train/3/00003_00002_00000.png
31,30,6,5,26,25,3,Train/3/00003_00002_00001.png
31,31,5,6,25,26,3,Train/3/00003_00002_00002.png
31,31,5,5,26,26,3,Train/3/00003_00002_00003.png
32,33,6,6,27,27,3,Train/3/00003_00002_00004.png
32,33,5,6,26,27,3,Train/3/00003_00002_00005.png
33,32,6,5,28,27,3,Train/3/00003_00002_00006.png
32,34,5,6,27,28,3,Train/3/00003_00002_00007.png
34,35,6,6,29,29,3,Train/3/00003_00002_00008.png
34,35,5,5,29,30,3,Train/3/00003_00002_00009.png
35,36,6,5,30,30,3,Train/3/00003_00002_00010.png
34,36,5,5,29,31,3,Train/3/00003_00002_00011.png
35,37,5,5,30,32,3,Train/3/00003_00002_00012.png
37,38,6,5,32,32,3,Train/3/00003_00002_00013.png
38,39,5,5,33,34,3,Train/3/00003_00002_00014.png
39,40,5,5,33,34,3,Train/3/00003_00002_00015.png
41,41,6,5,36,36,3,Train/3/00003_00002_00016.png
42,43,6,5,37,38,3,Train/3/00003_00002_00017.png
42,44,5,5,37,39,3,Train/3/00003_00002_00018.png
44,47,5,6,39,42,3,Train/3/00003_00002_00019.png
46,49,5,6,41,44,3,Train/3/00003_00002_00020.png
47,50,5,6,42,45,3,Train/3/00003_00002_00021.png
50,52,6,6,45,47,3,Train/3/00003_00002_00022.png
51,55,5,6,46,50,3,Train/3/00003_00002_00023.png
53,57,5,6,48,52,3,Train/3/00003_00002_00024.png
58,62,6,6,53,56,3,Train/3/00003_00002_00025.png
59,64,5,6,54,58,3,Train/3/00003_00002_00026.png
64,70,6,7,59,64,3,Train/3/00003_00002_00027.png
69,74,6,7,63,68,3,Train/3/00003_00002_00028.png
73,79,7,7,67,72,3,Train/3/00003_00002_00029.png
30,31,5,6,25,26,3,Train/3/00003_00003_00000.png
31,30,6,5,26,25,3,Train/3/00003_00003_00001.png
31,32,5,6,26,27,3,Train/3/00003_00003_00002.png
33,33,5,6,27,28,3,Train/3/00003_00003_00003.png
33,33,5,5,27,27,3,Train/3/00003_00003_00004.png
33,33,5,5,28,28,3,Train/3/00003_00003_00005.png
34,35,5,6,28,29,3,Train/3/00003_00003_00006.png
35,35,5,5,29,30,3,Train/3/00003_00003_00007.png
35,37,5,6,30,32,3,Train/3/00003_00003_00008.png
37,37,6,5,31,31,3,Train/3/00003_00003_00009.png
37,37,6,5,32,32,3,Train/3/00003_00003_00010.png
37,37,5,5,31,32,3,Train/3/00003_00003_00011.png
39,38,6,5,33,32,3,Train/3/00003_00003_00012.png
39,38,6,5,34,33,3,Train/3/00003_00003_00013.png
40,39,6,6,34,34,3,Train/3/00003_00003_00014.png
39,39,5,5,34,34,3,Train/3/00003_00003_00015.png
41,40,6,6,35,35,3,Train/3/00003_00003_00016.png
41,40,5,5,35,35,3,Train/3/00003_00003_00017.png
43,42,6,5,38,37,3,Train/3/00003_00003_00018.png
43,43,5,5,38,38,3,Train/3/00003_00003_00019.png
45,45,6,6,40,40,3,Train/3/00003_00003_00020.png
45,45,5,5,40,40,3,Train/3/00003_00003_00021.png
46,47,5,6,41,42,3,Train/3/00003_00003_00022.png
49,48,6,5,44,42,3,Train/3/00003_00003_00023.png
50,49,6,5,45,44,3,Train/3/00003_00003_00024.png
49,51,5,6,44,45,3,Train/3/00003_00003_00025.png
51,51,6,6,46,46,3,Train/3/00003_00003_00026.png
51,52,5,6,46,47,3,Train/3/00003_00003_00027.png
56,58,5,6,51,52,3,Train/3/00003_00003_00028.png
59,60,5,6,54,55,3,Train/3/00003_00003_00029.png
30,31,5,6,25,26,3,Train/3/00003_00004_00000.png
32,32,6,6,27,27,3,Train/3/00003_00004_00001.png
31,31,5,5,26,26,3,Train/3/00003_00004_00002.png
32,32,5,5,27,27,3,Train/3/00003_00004_00003.png
33,32,6,5,28,27,3,Train/3/00003_00004_00004.png
33,32,6,5,28,27,3,Train/3/00003_00004_00005.png
34,33,5,5,29,28,3,Train/3/00003_00004_00006.png
34,34,5,5,29,29,3,Train/3/00003_00004_00007.png
35,34,5,5,29,29,3,Train/3/00003_00004_00008.png
36,36,5,5,30,30,3,Train/3/00003_00004_00009.png
37,36,6,5,32,31,3,Train/3/00003_00004_00010.png
